algorithm,n,type,timeNs,recursionDepth
MergeSort,1000,Random,174500,10
QuickSort,1000,Random,130100,6
MergeSort,1000,Sorted,184100,10
QuickSort,1000,Sorted,71600,6
MergeSort,1000,Reverse-sorted,564100,10
QuickSort,1000,Reverse-sorted,77900,7
MergeSort,1000,Duplicate-heavy,456700,10
QuickSort,1000,Duplicate-heavy,176300,3
MergeSort,10000,Random,3181300,14
QuickSort,10000,Random,1172900,9
MergeSort,10000,Sorted,45000,14
QuickSort,10000,Sorted,751600,8
MergeSort,10000,Reverse-sorted,1349000,14
QuickSort,10000,Reverse-sorted,565000,8
MergeSort,10000,Duplicate-heavy,2836000,14
QuickSort,10000,Duplicate-heavy,6548300,3
MergeSort,100000,Random,12114500,17
QuickSort,100000,Random,12634400,10
MergeSort,100000,Sorted,537500,17
QuickSort,100000,Sorted,6401000,11
MergeSort,100000,Reverse-sorted,5065000,17
QuickSort,100000,Reverse-sorted,6491000,11
MergeSort,100000,Duplicate-heavy,7123600,17
QuickSort,100000,Duplicate-heavy,517374000,4
MergeSort,1000000,Random,133658600,20
QuickSort,1000000,Random,133047000,13
MergeSort,1000000,Sorted,4480300,20
QuickSort,1000000,Sorted,55397600,13
MergeSort,1000000,Reverse-sorted,59731500,20
QuickSort,1000000,Reverse-sorted,82683900,13
MergeSort,1000000,Duplicate-heavy,66912900,20
QuickSort,1000000,Duplicate-heavy,40669667600,4
DeterministicSelect,1000,Random,75600,9
DeterministicSelect,10000,Random,367100,11
DeterministicSelect,100000,Random,3677000,14
DeterministicSelect,1000000,Random,35572100,18
ClosestPair,1000,Random,2532700,10
ClosestPair,5000,Random,16291900,12
ClosestPair,10000,Random,32890900,13
ClosestPair,50000,Random,171926500,16
ClosestPair,100000,Random,147254800,17
